Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
492,2003,NBA,1,13,MEM,Marcus Banks,21.224,G,us,"University of Nevada, Las Vegas",2004.0,2011.0,348.0,16.0,5.9,1.5,2.1,0.8,0.2,0.432,0.462,0.327,0.768,6.6,0.057
493,2016,NBA,1,27,TOR,Pascal Siakam,22.145,F,cm,New Mexico State University,2017.0,2019.0,142.0,18.9,6.1,4.1,1.3,0.6,0.6,0.509,0.579,0.224,0.632,6.6,0.118
494,1997,NBA,2,50,ATL,Chris Crawford,22.049,F,us,Marquette University,1998.0,2004.0,252.0,15.8,6.6,2.2,0.6,0.4,0.3,0.437,0.453,0.347,0.824,6.5,0.078
495,2005,NBA,1,9,GSW,Ike Diogu,21.296,F,us,Arizona State University,2006.0,2012.0,225.0,12.4,6.0,3.1,0.3,0.2,0.3,0.509,0.509,0.5,0.786,6.5,0.112
496,2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016.0,2019.0,212.0,32.3,20.0,3.3,3.5,0.8,0.3,0.428,0.458,0.365,0.848,6.5,0.046
497,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,us,University of Kansas,2016.0,2019.0,228.0,20.4,7.8,3.5,0.7,0.7,0.3,0.415,0.484,0.329,0.784,6.5,0.067
498,2000,NBA,1,6,ATL,DerMarr Johnson,20.059,F,us,University of Cincinnati,2001.0,2008.0,344.0,17.2,6.2,2.2,0.9,0.6,0.4,0.411,0.469,0.336,0.789,6.4,0.052
499,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,us,University of Notre Dame,2016.0,2019.0,218.0,18.7,6.6,2.0,3.0,0.8,0.1,0.41,0.463,0.311,0.782,6.4,0.076
500,2009,NBA,2,31,SAC,Jeff Pendergraph,22.063,F,us,Arizona State University,2010.0,2016.0,237.0,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,0.131
501,2010,NBA,1,27,NJN,Jordan Crawford,21.249,G,us,Xavier University,2011.0,2018.0,281.0,24.4,12.2,2.5,3.1,0.7,0.1,0.411,0.458,0.317,0.826,6.3,0.044
502,2002,NBA,1,22,PHO,Casey Jacobsen,21.104,G-F,us,Stanford University,2003.0,2008.0,287.0,18.5,5.2,1.8,1.1,0.4,0.1,0.393,0.433,0.352,0.769,6.2,0.056
503,2006,NBA,1,16,CHI,Rodney Carney,22.079,F,us,University of Memphis,2007.0,2011.0,299.0,15.4,5.9,2.0,0.4,0.5,0.3,0.422,0.471,0.338,0.704,6.2,0.064
504,2007,NBA,2,49,CHI,Aaron Gray,22.208,C,us,University of Pittsburgh,2008.0,2014.0,318.0,12.1,3.4,3.7,0.7,0.3,0.3,0.509,0.511,0.0,0.562,6.2,0.077
505,2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016.0,2019.0,124.0,17.0,6.5,2.3,2.3,0.9,0.4,0.455,0.498,0.362,0.797,6.2,0.141
506,2002,NBA,1,17,WAS,Juan Dixon,23.266,G,us,University of Maryland,2003.0,2009.0,436.0,19.5,8.4,1.9,1.8,0.8,0.1,0.413,0.442,0.341,0.833,6.1,0.034
507,2007,NBA,1,14,LAC,Al Thornton,23.209,F,us,Florida State University,2008.0,2011.0,296.0,28.0,11.9,4.2,1.2,0.6,0.5,0.452,0.467,0.293,0.747,6.1,0.035
508,2016,NBA,1,11,ORL,Domantas Sabonis,20.056,F-C,us,Gonzaga University,2017.0,2019.0,159.0,22.2,8.7,5.7,1.5,0.5,0.4,0.47,0.498,0.33,0.728,6.1,0.083
509,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,br,,2015.0,2018.0,141.0,12.4,3.2,2.8,0.5,0.6,1.0,0.632,0.681,0.265,0.64,6.0,0.165
510,2016,NBA,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017.0,2019.0,153.0,23.8,10.3,3.8,1.2,0.7,0.3,0.455,0.499,0.376,0.657,6.0,0.079
511,2002,NBA,1,28,SAC,Dan Dickau,23.289,G,us,Gonzaga University,2003.0,2008.0,300.0,15.4,5.8,1.4,2.5,0.5,0.0,0.401,0.432,0.341,0.831,5.9,0.061
512,2010,NBA,1,17,CHI,Kevin Seraphin,20.204,F,gf,,2011.0,2017.0,423.0,15.2,5.9,3.5,0.6,0.2,0.7,0.489,0.491,0.0,0.715,5.9,0.044
513,2012,NBA,1,30,GSW,Festus Ezeli,22.256,C,ng,Vanderbilt University,2013.0,2016.0,170.0,14.1,4.2,4.3,0.4,0.3,1.0,0.513,0.513,,0.557,5.9,0.119
514,1999,NBA,1,20,ATL,Dion Glover,20.256,G,us,Georgia Institute of Technology,2000.0,2005.0,294.0,20.9,8.2,3.1,1.5,0.8,0.2,0.411,0.436,0.317,0.756,5.8,0.045
515,2008,NBA,1,14,GSW,Anthony Randolph,18.351,F,de,Louisiana State University,2009.0,2014.0,252.0,15.2,7.1,4.3,0.7,0.6,0.9,0.453,0.466,0.241,0.74,5.8,0.072
516,2002,NBA,1,16,PHI,Jiri Welsch,22.156,G,cz,,2003.0,2006.0,247.0,18.6,6.1,2.4,1.5,0.8,0.1,0.403,0.425,0.343,0.752,5.7,0.059
517,2012,NBA,2,32,WAS,Tomas Satoransky,20.247,G,cz,,2017.0,2019.0,135.0,18.0,5.2,2.4,2.9,0.6,0.2,0.487,0.516,0.404,0.78,5.7,0.112
518,2014,NBA,1,9,CHH,Noah Vonleh,18.311,F,us,Indiana University,2015.0,2019.0,237.0,15.5,4.2,4.8,0.5,0.4,0.4,0.447,0.477,0.299,0.667,5.7,0.074
519,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,us,"University of California, Los Angeles",2015.0,2019.0,235.0,28.8,14.3,3.0,3.2,0.8,0.2,0.441,0.474,0.375,0.821,5.7,0.04
