Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
711,2010,NBA,1,29,ORL,Daniel Orton,19.327,C-F,us,University of Kentucky,2012.0,2014.0,51.0,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0.0,0.597,1.0,0.093
712,2012,NBA,1,13,PHO,Kendall Marshall,20.319,G,us,University of North Carolina,2013.0,2016.0,160.0,19.3,5.0,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1.0,0.015
713,2017,NBA,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018.0,2019.0,70.0,16.1,4.8,3.5,0.8,0.3,0.6,0.421,0.482,0.325,0.653,1.0,0.045
714,2017,NBA,2,48,MIL,Sindarius Thornwell,22.225,G,us,University of South Carolina,2018.0,2018.0,73.0,15.8,3.9,1.9,0.9,0.7,0.3,0.429,0.448,0.377,0.67,1.0,0.041
715,2000,NBA,2,40,ATL,Hanno Mottola,23.298,C,fi,University of Utah,2001.0,2002.0,155.0,15.2,4.6,2.9,0.5,0.2,0.2,0.442,0.451,0.063,0.783,0.9,0.019
716,2005,NBA,1,29,MIA,Wayne Simien,22.117,F,us,University of Kansas,2006.0,2007.0,51.0,9.9,3.3,1.9,0.2,0.3,0.0,0.469,0.469,,0.854,0.9,0.083
717,2007,NBA,2,38,PHI,Kyrylo Fesenko,20.191,C,ua,,2008.0,2012.0,135.0,8.2,2.3,2.0,0.3,0.1,0.4,0.496,0.5,0.0,0.41,0.9,0.038
718,2010,NBA,2,52,BOS,Luke Harangody,22.179,F,us,University of Notre Dame,2011.0,2012.0,70.0,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
719,2013,NBA,2,38,WAS,Nate Wolters,22.049,G,us,South Dakota State University,2014.0,2018.0,84.0,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.028
720,2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,us,University of North Carolina,2015.0,2016.0,111.0,18.0,6.0,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
721,2014,NBA,2,60,SAS,Cory Jefferson,23.188,F,us,Baylor University,2015.0,2016.0,58.0,10.0,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,0.071
722,2017,NBA,2,44,NYK,Damyean Dotson,23.053,G,us,University of Oregon,2018.0,2019.0,48.0,12.3,5.0,2.3,0.7,0.4,0.1,0.452,0.54,0.347,0.68,0.9,0.075
723,1999,NBA,1,19,UTA,Quincy Lewis,22.009,F,us,University of Minnesota,2000.0,2004.0,159.0,11.7,3.6,1.3,0.6,0.4,0.2,0.397,0.412,0.333,0.71,0.8,0.02
724,2001,NBA,2,51,PHO,Alton Ford,20.034,F,us,University of Houston,2002.0,2004.0,73.0,7.2,2.5,1.7,0.2,0.1,0.1,0.507,0.507,,0.697,0.8,0.074
725,2002,NBA,1,2,CHI,Jay Williams,20.294,G,us,Duke University,2003.0,2003.0,75.0,26.1,9.5,2.6,4.7,1.1,0.2,0.399,0.431,0.322,0.64,0.8,0.02
726,2002,NBA,2,41,LAC,Mario Kasun,22.087,C,hr,,2005.0,2006.0,73.0,7.8,2.7,2.6,0.2,0.1,0.2,0.467,0.47,0.0,0.636,0.8,0.069
727,2004,NBA,2,47,MIA,Pape Sow,22.22,F,sn,"California State University, Fullerton",2005.0,2007.0,76.0,11.6,2.9,2.8,0.2,0.4,0.3,0.416,0.416,,0.678,0.8,0.044
728,2005,NBA,2,32,LAC,Daniel Ewing,22.1,G,us,Duke University,2006.0,2007.0,127.0,13.3,3.4,1.2,1.4,0.5,0.1,0.389,0.429,0.295,0.78,0.8,0.024
729,2006,NBA,2,31,POR,James White,23.256,G-F,us,University of Cincinnati,2007.0,2013.0,67.0,8.7,2.7,1.0,0.5,0.3,0.1,0.438,0.482,0.34,0.676,0.8,0.062
730,2006,NBA,2,54,NJN,Hassan Adams,22.013,G,us,University of Arizona,2007.0,2009.0,73.0,7.5,2.5,1.2,0.2,0.2,0.1,0.534,0.537,0.0,0.643,0.8,0.072
731,2007,NBA,2,34,DAL,Nick Fazekas,22.016,F,us,"University of Nevada, Reno",2008.0,2008.0,26.0,10.3,4.1,3.4,0.4,0.3,0.4,0.561,0.575,0.0,0.682,0.8,0.148
732,2008,NBA,2,48,PHO,Malik Hairston,21.129,G,us,University of Oregon,2009.0,2010.0,62.0,7.6,2.4,1.2,0.5,0.2,0.3,0.512,0.549,0.167,0.514,0.8,0.086
733,2010,NBA,1,12,MEM,Xavier Henry,19.106,G,be,University of Kansas,2011.0,2015.0,185.0,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013
734,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,ru,,2014.0,2016.0,95.0,11.7,3.0,1.5,0.9,0.3,0.0,0.395,0.489,0.282,0.842,0.8,0.036
735,2014,NBA,1,17,BOS,James Young,18.319,G-F,us,University of Kentucky,2015.0,2018.0,95.0,8.5,2.3,1.0,0.3,0.3,0.1,0.367,0.534,0.277,0.563,0.8,0.046
736,2015,NBA,2,31,MIN,Cedi Osman,20.083,F,mk,,2018.0,2019.0,66.0,12.6,4.5,2.2,0.9,0.4,0.1,0.46,0.518,0.383,0.574,0.8,0.045
737,2016,NBA,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017.0,2019.0,131.0,22.0,7.6,3.0,3.9,1.4,0.5,0.411,0.439,0.308,0.694,0.8,0.013
738,2016,NBA,2,60,UTA,Tyrone Wallace,22.019,G,us,University of California,2018.0,2019.0,32.0,26.7,9.2,3.3,2.2,0.8,0.4,0.448,0.486,0.25,0.782,0.8,0.043
739,2017,NBA,2,34,SAC,Frank Mason,23.086,G,us,University of Kansas,2018.0,2019.0,57.0,18.6,8.0,2.4,2.9,0.6,0.2,0.391,0.396,0.375,0.817,0.8,0.037
740,1998,NBA,2,46,MIN,Andrae Patterson,22.23,F,us,Indiana University,1999.0,2000.0,40.0,7.6,3.0,1.7,0.4,0.5,0.2,0.455,0.479,0.0,0.778,0.7,0.114
741,1999,NBA,2,38,ORL,Laron Profit,21.334,G-F,us,University of Maryland,2000.0,2006.0,135.0,11.4,3.3,1.5,1.2,0.5,0.2,0.419,0.469,0.236,0.712,0.7,0.021
742,2001,NBA,1,22,ORL,Jeryl Sasser,22.14,G,us,Southern Methodist University,2002.0,2003.0,82.0,12.9,2.5,2.3,0.8,0.6,0.1,0.303,0.305,0.295,0.687,0.7,0.032
743,2003,NBA,2,56,BOS,Brandon Hunter,22.219,F,us,Ohio University,2004.0,2005.0,67.0,9.4,3.3,2.8,0.3,0.3,0.1,0.476,0.484,0.0,0.488,0.7,0.055
744,2007,NBA,2,41,MIN,Chris Richard,22.19,F,us,University of Florida,2008.0,2010.0,70.0,11.1,1.9,2.8,0.4,0.3,0.2,0.483,0.483,,0.605,0.7,0.045
745,2010,NBA,1,22,POR,Elliot Williams,21.009,G,us,University of Memphis,2012.0,2016.0,109.0,13.5,4.9,1.5,0.9,0.4,0.1,0.421,0.489,0.31,0.669,0.7,0.024
746,2010,NBA,2,41,MIA,Jarvis Varnado,22.12,F,us,Mississippi State University,2013.0,2014.0,37.0,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089
747,2014,NBA,1,29,OKC,Josh Huestis,22.195,F,us,Stanford University,2016.0,2018.0,76.0,14.1,2.5,2.4,0.3,0.2,0.6,0.346,0.4,0.312,0.24,0.7,0.03
748,2016,NBA,1,30,GSW,Damian Jones,20.364,F-C,us,Vanderbilt University,2017.0,2019.0,31.0,9.2,2.8,1.7,0.4,0.2,0.5,0.633,0.633,,0.429,0.7,0.118
749,2017,NBA,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018.0,2019.0,55.0,8.6,2.8,1.5,0.2,0.1,0.1,0.454,0.469,0.419,0.625,0.7,0.074
750,2017,NBA,2,46,PHI,Sterling Brown,22.138,G,us,Southern Methodist University,2018.0,2019.0,57.0,13.9,3.9,2.6,0.5,0.5,0.2,0.404,0.444,0.352,0.875,0.7,0.045
751,1997,NBA,2,31,DET,Charles O'Bannon,22.129,G-F,us,"University of California, Los Angeles",1998.0,1999.0,48.0,8.3,2.5,1.4,0.6,0.2,0.1,0.4,0.413,0.0,0.87,0.6,0.07
752,1998,NBA,2,52,SAS,Derrick Dial,22.192,G,us,Eastern Michigan University,2000.0,2004.0,82.0,8.4,3.1,1.6,0.8,0.3,0.1,0.372,0.404,0.19,0.672,0.6,0.045
753,2000,NBA,2,34,CHI,Khalid El-Amin,21.07,G,us,University of Connecticut,2001.0,2001.0,50.0,18.7,6.3,1.6,2.9,1.0,0.0,0.37,0.383,0.333,0.778,0.6,0.03
754,2009,NBA,1,24,DAL,Byron Mullens,20.136,C,us,Ohio State University,2010.0,2014.0,189.0,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
755,2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,us,University of Tennessee,2015.0,2017.0,28.0,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
756,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse University,2016.0,2018.0,59.0,9.0,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.054
757,2015,NBA,2,48,OKC,Dakari Johnson,19.281,C,us,University of Kentucky,2018.0,2018.0,31.0,5.2,1.8,1.1,0.3,0.2,0.3,0.564,0.564,,0.55,0.6,0.178
758,2016,NBA,1,16,BOS,Guerschon Yabusele,20.194,F,fr,,2018.0,2019.0,36.0,6.8,2.3,1.4,0.4,0.1,0.1,0.429,0.6,0.316,0.682,0.6,0.12
759,2016,NBA,1,19,DEN,Malik Beasley,19.214,G,us,Florida State University,2017.0,2019.0,89.0,9.1,3.4,1.1,0.5,0.3,0.1,0.429,0.5,0.333,0.698,0.6,0.038
760,2017,NBA,2,33,ORL,Wesley Iwundu,22.19,F,us,Kansas State University,2018.0,2019.0,64.0,16.5,3.8,2.3,0.9,0.5,0.2,0.416,0.481,0.18,0.712,0.6,0.028
761,2017,NBA,2,51,DEN,Monte Morris,22.001,G,us,Iowa State University,2018.0,2019.0,8.0,16.6,7.1,2.0,3.6,1.0,0.0,0.429,0.421,0.455,0.833,0.6,0.203
762,1997,NBA,2,41,DEN,Jason Lawson,22.302,C,us,Villanova University,1998.0,1998.0,17.0,4.7,1.5,1.6,0.3,0.2,0.2,0.6,0.6,,0.8,0.5,0.28
763,1997,NBA,2,51,LAL,DeJuan Wheat,23.26,G,us,University of Louisville,1998.0,1999.0,80.0,9.3,3.3,0.7,1.6,0.4,0.0,0.383,0.38,0.39,0.7,0.5,0.034
764,1999,NBA,2,33,DEN,Chris Herren,23.282,G,us,"California State University, Fresno",2000.0,2001.0,70.0,14.4,3.2,1.0,2.4,0.4,0.0,0.336,0.347,0.328,0.692,0.5,0.025
765,2002,NBA,1,13,MIL,Marcus Haislip,21.191,F,us,University of Tennessee,2003.0,2010.0,89.0,9.6,3.5,1.5,0.2,0.2,0.4,0.437,0.444,0.35,0.659,0.5,0.026
766,2004,NBA,2,34,ATL,Donta Smith,20.215,G-F,us,Southeastern Illinois College,2005.0,2006.0,61.0,9.2,2.7,1.1,0.8,0.5,0.1,0.421,0.447,0.308,0.65,0.5,0.043
767,2004,NBA,2,40,BOS,Justin Reed,22.165,F,us,University of Mississippi,2005.0,2007.0,136.0,10.6,3.5,1.4,0.5,0.2,0.1,0.404,0.407,0.0,0.752,0.5,0.016
768,2005,NBA,2,42,GSW,Chris Taft,20.115,F,us,University of Pittsburgh,2006.0,2006.0,17.0,8.5,2.8,2.1,0.1,0.1,0.4,0.605,0.605,,0.167,0.5,0.155
769,2005,NBA,2,47,MIN,Bracey Wright,21.002,G,us,Indiana University,2006.0,2007.0,26.0,12.5,5.0,1.5,0.8,0.4,0.0,0.405,0.446,0.324,0.794,0.5,0.068
770,2006,NBA,1,9,GSW,Patrick O'Bryant,20.013,C,us,Bradley University,2007.0,2010.0,90.0,5.8,2.1,1.4,0.3,0.2,0.4,0.494,0.503,0.0,0.583,0.5,0.046
771,2006,NBA,1,18,WAS,Oleksiy Pecherov,20.207,C,ua,,2008.0,2010.0,111.0,9.4,3.9,2.4,0.2,0.2,0.2,0.386,0.444,0.29,0.793,0.5,0.025
772,2006,NBA,2,34,LAC,Paul Davis,21.347,C,us,Michigan State University,2007.0,2010.0,82.0,8.6,2.6,1.9,0.4,0.3,0.2,0.402,0.404,0.0,0.732,0.5,0.035
773,2008,NBA,1,8,MIL,Joe Alexander,21.188,F,tw,West Virginia University,2009.0,2010.0,67.0,11.1,4.2,1.8,0.7,0.2,0.4,0.41,0.426,0.34,0.698,0.5,0.03
774,2010,NBA,2,32,MIA,Dexter Pittman,22.119,C,us,University of Texas at Austin,2011.0,2014.0,50.0,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
775,2010,NBA,2,43,LAL,Devin Ebanks,20.244,F,us,West Virginia University,2011.0,2013.0,63.0,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
776,2011,NBA,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra University,2012.0,2013.0,110.0,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
777,2011,NBA,2,52,DET,Vernon Macklin,24.282,F,us,University of Florida,2012.0,2012.0,23.0,5.9,2.0,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
778,2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,ca,"University of Nevada, Las Vegas",2014.0,2017.0,151.0,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013
779,2014,NBA,2,58,SAS,Jordan McRae,23.096,G,us,University of Tennessee,2016.0,2019.0,61.0,9.7,4.3,1.0,0.7,0.2,0.1,0.399,0.411,0.373,0.774,0.5,0.038
780,2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,us,Louisiana State University,2016.0,2018.0,64.0,7.5,2.4,2.0,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05
781,2015,NBA,2,36,MIN,Rakeem Christmas,23.212,F,us,Syracuse University,2016.0,2017.0,30.0,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.724,0.5,0.105
782,2016,NBA,2,34,PHO,Tyler Ulis,20.175,G,us,University of Kentucky,2017.0,2019.0,133.0,20.9,7.5,1.7,4.0,0.9,0.1,0.403,0.439,0.28,0.808,0.5,0.008
783,2017,NBA,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State University,2018.0,2019.0,32.0,20.4,5.9,4.2,0.6,1.2,1.1,0.406,0.423,0.368,0.71,0.5,0.034
784,2017,NBA,1,29,SAS,Derrick White,22.361,G,us,University of Colorado,2018.0,2018.0,17.0,8.2,3.2,1.5,0.5,0.2,0.2,0.485,0.4,0.615,0.7,0.5,0.17
785,2006,NBA,2,39,MIL,David Noel,22.127,F,us,University of North Carolina,2007.0,2007.0,68.0,11.6,2.7,1.8,1.0,0.4,0.1,0.367,0.387,0.321,0.86,0.4,0.024
786,2007,NBA,1,29,PHO,Alando Tucker,23.143,F,us,University of Wisconsin,2008.0,2010.0,51.0,8.4,4.1,1.0,0.3,0.1,0.0,0.423,0.453,0.294,0.783,0.4,0.045
787,2007,NBA,2,32,BOS,Gabe Pruitt,21.075,G,us,University of Southern California,2008.0,2009.0,62.0,7.4,2.0,0.8,0.8,0.3,0.0,0.321,0.35,0.283,0.783,0.4,0.043
788,2011,NBA,2,43,CHI,Malcolm Lee,21.037,G,us,"University of California, Los Angeles",2012.0,2015.0,36.0,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
789,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,us,"University of California, Los Angeles",2015.0,2016.0,32.0,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
790,2015,NBA,2,43,IND,Joseph Young,23.003,G,us,University of Oregon,2016.0,2018.0,127.0,8.5,3.4,1.0,0.9,0.3,0.0,0.393,0.438,0.296,0.768,0.4,0.016
791,2016,NBA,1,13,PHO,Georgios Papagiannis,18.36,C,gr,,2017.0,2018.0,39.0,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0.0,0.857,0.4,0.044
792,2017,NBA,2,41,ATL,Tyler Dorsey,21.134,G,us,University of Oregon,2018.0,2019.0,58.0,17.3,7.1,2.3,1.4,0.3,0.1,0.377,0.393,0.361,0.714,0.4,0.02
793,1997,NBA,2,38,MIL,Jerald Honeycutt,22.254,F-G,us,Tulane University,1998.0,1999.0,54.0,11.7,5.1,1.9,0.7,0.5,0.1,0.391,0.409,0.362,0.632,0.3,0.02
794,1998,NBA,2,57,UTA,Torraye Braggs,22.045,F,us,Xavier University,2004.0,2005.0,22.0,8.1,2.1,2.3,0.3,0.2,0.1,0.475,0.475,,0.667,0.3,0.071
795,2000,NBA,2,31,DAL,Dan Langhi,22.218,F,us,Vanderbilt University,2001.0,2004.0,133.0,9.4,3.0,1.5,0.3,0.2,0.1,0.391,0.4,0.289,0.613,0.3,0.012
796,2000,NBA,2,32,CHI,A.J. Guyton,22.142,G,us,Indiana University,2001.0,2003.0,80.0,15.6,5.5,1.0,1.8,0.3,0.2,0.377,0.377,0.378,0.822,0.3,0.01
797,2000,NBA,2,36,NJN,Soumaila Samake,22.108,C,ml,,2001.0,2003.0,47.0,6.4,1.4,1.6,0.1,0.0,0.4,0.389,0.389,,0.462,0.3,0.046
798,2006,NBA,1,10,SEA,Mouhamed Sene,20.052,C-F,sn,,2007.0,2009.0,47.0,5.5,2.2,1.6,0.0,0.1,0.5,0.427,0.427,,0.589,0.3,0.052
799,2006,NBA,2,41,ORL,James Augustine,22.127,F,us,University of Illinois at Urbana-Champaign,2007.0,2008.0,27.0,5.8,1.6,1.2,0.1,0.2,0.1,0.514,0.514,,0.5,0.3,0.101
800,2007,NBA,2,46,GSW,Stephane Lasme,24.199,F,ga,University of Massachusetts Amherst,2008.0,2008.0,16.0,18.9,5.2,3.3,0.2,0.8,1.4,0.451,0.451,,0.594,0.3,0.041
801,2010,NBA,1,25,MEM,Dominique Jones,21.257,G,us,University of South Florida,2011.0,2013.0,80.0,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
802,2010,NBA,2,58,LAL,Derrick Caracter,22.056,F,us,University of Texas at El Paso,2011.0,2011.0,41.0,5.2,2.0,1.0,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
803,2011,NBA,2,39,CHA,Jeremy Tyler,20.007,C,us,,2012.0,2014.0,104.0,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0.0,0.557,0.3,0.014
804,2012,NBA,2,48,NYK,Kostas Papanikolaou,21.338,F,gr,,2015.0,2016.0,69.0,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015
805,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,us,Georgia State University,2016.0,2018.0,44.0,8.4,2.6,1.0,0.4,0.4,0.1,0.361,0.512,0.282,0.889,0.3,0.039
806,2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,us,Villanova University,2016.0,2018.0,91.0,9.4,3.2,0.9,0.8,0.2,0.0,0.377,0.42,0.304,0.747,0.3,0.016
807,2016,NBA,2,52,UTA,Joel Bolomboy,22.152,F,ua,Weber State University,2017.0,2018.0,18.0,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132
808,2017,NBA,2,54,PHO,Alec Peters,22.076,F,us,Valparaiso University,2018.0,2018.0,20.0,11.3,4.1,1.9,0.6,0.1,0.1,0.378,0.625,0.31,0.8,0.3,0.055
809,1997,NBA,2,33,PHI,Marko Milic,20.054,G-F,si,,1998.0,1999.0,44.0,4.9,2.5,0.7,0.3,0.3,0.0,0.56,0.571,0.429,0.647,0.2,0.047
810,1997,NBA,2,35,PHI,Kebu Stewart,23.194,F,us,"California State University, Bakersfield",1998.0,1998.0,15.0,7.3,2.7,2.1,0.1,0.3,0.1,0.462,0.462,,0.64,0.2,0.098
811,1998,NBA,1,20,ATL,Roshown McLeod,22.225,F,us,Duke University,1999.0,2001.0,113.0,18.8,7.2,2.7,1.1,0.4,0.1,0.409,0.426,0.111,0.819,0.2,0.004
812,1998,NBA,2,48,CLE,Ryan Stack,22.341,F,us,University of South Carolina,1999.0,2000.0,43.0,9.2,2.3,1.8,0.2,0.1,0.5,0.352,0.356,0.0,0.787,0.2,0.028
813,1999,NBA,1,29,SAS,Leon Smith,18.244,C,us,,2002.0,2004.0,15.0,6.9,2.2,2.2,0.2,0.3,0.1,0.393,0.393,,0.647,0.2,0.112
814,1999,NBA,2,56,GSW,Tim Young,23.15,C,us,Stanford University,2000.0,2000.0,25.0,5.5,2.2,1.4,0.2,0.1,0.0,0.333,0.333,,0.778,0.2,0.058
815,2000,NBA,1,28,POR,Erick Barkley,22.133,G,us,St. John's University,2001.0,2002.0,27.0,9.9,2.9,0.8,1.5,0.7,0.0,0.356,0.373,0.267,0.9,0.2,0.027
816,2000,NBA,2,55,GSW,Chris Porter,22.056,F,us,Auburn University,2001.0,2001.0,51.0,22.5,8.6,3.7,1.2,0.9,0.1,0.389,0.393,0.0,0.667,0.2,0.008
817,2001,NBA,2,50,POR,Ruben Boumtje-Boumtje,23.044,C,cm,Georgetown University,2002.0,2004.0,44.0,6.3,1.0,1.3,0.1,0.1,0.4,0.368,0.368,,0.556,0.2,0.027
818,2003,NBA,2,37,ATL,Travis Hansen,25.078,G,us,Brigham Young University,2004.0,2004.0,41.0,12.4,3.0,1.7,0.5,0.2,0.2,0.354,0.37,0.3,0.815,0.2,0.019
819,2004,NBA,1,10,CLE,Luke Jackson,22.236,F,us,University of Oregon,2005.0,2008.0,73.0,9.9,3.5,1.2,0.8,0.3,0.0,0.357,0.356,0.36,0.732,0.2,0.01
820,2005,NBA,2,54,NYK,Dijon Thompson,22.131,G-F,us,"University of California, Los Angeles",2006.0,2007.0,16.0,5.8,2.8,1.2,0.2,0.2,0.1,0.425,0.481,0.308,0.875,0.2,0.102
821,2006,NBA,2,43,NOK,Marcus Vinicius,22.033,F,br,,2007.0,2008.0,26.0,6.6,1.9,0.7,0.3,0.1,0.1,0.457,0.5,0.421,0.556,0.2,0.056
822,2008,NBA,2,41,IND,Nathan Jawai,21.265,C-F,au,,2009.0,2010.0,45.0,9.6,2.8,2.4,0.5,0.2,0.2,0.435,0.439,0.0,0.684,0.2,0.02
823,2008,NBA,2,56,SEA,Sasha Kaun,23.055,C,ru,University of Kansas,2016.0,2016.0,25.0,3.8,0.9,1.0,0.1,0.2,0.2,0.529,0.529,,0.455,0.2,0.096
824,2009,NBA,1,22,POR,Victor Claver,20.304,F,es,,2013.0,2015.0,80.0,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011
825,2009,NBA,2,32,WAS,Jermaine Taylor,22.205,G,us,University of Central Florida,2010.0,2011.0,65.0,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014
826,2009,NBA,2,58,BOS,Lester Hudson,24.328,G,us,University of Tennessee at Martin,2010.0,2015.0,57.0,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016
827,2010,NBA,1,30,WAS,Lazar Hayward,23.216,F,us,Marquette University,2011.0,2013.0,72.0,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
828,2010,NBA,2,54,LAC,Willie Warren,20.25,G,us,University of Oklahoma,2011.0,2011.0,19.0,7.1,1.9,0.6,1.4,0.3,0.0,0.371,0.4,0.333,0.75,0.2,0.065
829,2011,NBA,1,27,NJN,JaJuan Johnson,22.14,F,us,Purdue University,2012.0,2012.0,36.0,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
830,2012,NBA,1,24,CLE,Jared Cunningham,21.043,G,us,Oregon State University,2013.0,2016.0,84.0,7.2,2.3,0.7,0.5,0.3,0.0,0.347,0.369,0.306,0.674,0.2,0.017
831,2012,NBA,2,44,DET,Kim English,23.283,G,us,University of Missouri,2013.0,2013.0,41.0,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
832,2012,NBA,2,52,GSW,Ognjen Kuzmic,22.049,C,ba,,2014.0,2015.0,37.0,4.4,0.9,1.0,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
833,2013,NBA,2,37,DET,Tony Mitchell,21.086,F,us,University of North Texas,2014.0,2014.0,21.0,3.8,1.0,1.2,0.1,0.3,0.1,0.417,0.364,1.0,0.579,0.2,0.151
834,2014,NBA,2,36,MIL,Johnny O'Bryant III,21.03,F-C,us,Louisiana State University,2015.0,2018.0,147.0,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006
835,2014,NBA,2,43,ATL,Walter Tavares,22.101,C,cv,,2016.0,2017.0,13.0,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
836,2017,NBA,1,1,PHI,Markelle Fultz,19.029,G,us,University of Washington,2018.0,2019.0,19.0,20.0,7.5,3.2,3.8,0.9,0.3,0.403,0.401,0.429,0.48,0.2,0.025
837,2017,NBA,1,11,CHO,Malik Monk,19.143,G,us,University of Kentucky,2018.0,2019.0,69.0,14.6,7.2,1.1,1.5,0.3,0.2,0.362,0.385,0.345,0.867,0.2,0.008
838,2017,NBA,2,56,BOS,Jabari Bird,22.36,G,us,University of California,2018.0,2018.0,13.0,8.8,3.0,1.5,0.6,0.2,0.1,0.577,0.632,0.429,0.462,0.2,0.098
839,1997,NBA,1,17,ORL,Johnny Taylor,23.027,F,us,University of Tennessee at Chattanooga,1998.0,2000.0,54.0,16.0,4.7,2.2,0.5,0.6,0.4,0.402,0.404,0.394,0.718,0.1,0.007
840,1997,NBA,1,22,ATL,Ed Gray,21.277,G,us,University of California,1998.0,1999.0,60.0,13.5,6.2,1.2,0.8,0.5,0.2,0.339,0.338,0.341,0.814,0.1,0.009
841,1997,NBA,2,34,DAL,Bubba Wells,22.34,F,us,Austin Peay State University,1998.0,1998.0,39.0,10.1,3.3,1.7,0.9,0.4,0.1,0.414,0.427,0.167,0.721,0.1,0.013
842,1997,NBA,2,46,ORL,Eric Washington,23.1,G,us,University of Alabama,1998.0,1999.0,104.0,22.1,6.9,2.1,1.0,0.8,0.4,0.402,0.431,0.346,0.757,0.1,0.002
843,1998,NBA,2,40,DET,Korleone Young,19.18,F,us,,1999.0,1999.0,3.0,5.0,4.3,1.3,0.3,0.0,0.0,0.5,0.667,0.25,1.0,0.1,0.28
844,1998,NBA,2,47,TOR,Tyson Wheeler,22.265,G,us,University of Rhode Island,1999.0,1999.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,,1.0,0.5,0.1,1.367
845,2000,NBA,2,50,UTA,Kaniel Dickens,21.348,F,us,University of Idaho,2004.0,2008.0,19.0,4.5,1.2,0.6,0.1,0.1,0.1,0.4,0.455,0.333,0.75,0.1,0.055
846,2000,NBA,2,51,MIN,Igor Rakocevic,22.097,G,rs,,2003.0,2003.0,42.0,5.8,1.9,0.4,0.8,0.1,0.0,0.379,0.37,0.417,0.806,0.1,0.022
